Node	Occurrences	Present in network(s)	Cited in paper(s)
H7N7F1S2	3	[685;P41222, 613;P07911, 2933;Q13410]	[10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1074/mcp.RA120.002295, 10.1021/bi035278t, 10.1038/s41598-021-84668-x, 10.1021/acs.analchem.0c01794, 10.1021/acs.analchem.8b01137]
H7N7F1S3	1	[685;P41222]	[10.18632/oncotarget.26005, 10.1021/bi035278t, 10.1038/s41598-021-84668-x, 10.1021/acs.analchem.0c01794]
H4N2S1	4	[1437;Q08431, 666;P07288, 723;P10253, 774;P08571]	[10.1620/tjem.166.407, 10.1007/bf01799942]
H6N6F2S1	2	[1940;Q07075, 1261;P19440]	[10.1038/s41467-019-09222-w, 10.1371/journal.ppat.1009232]
H6N6F2S2	26	[1087;Q5ZPR3, 1931;Q9P232, 1950;P14923, 1256;Q08380, 1980;Q5T2D2, 1913;Q6QNK2, 1955;P07333, 1641;Q12884, 1933;P09172, 1035;Q96KN2, 99;P00451, 1079;P07339, 1978;Q08ET2, 1524;Q9H8L6, 1156;Q8IWV2, 1965;Q99650, 1383;Q9Y4L1, 668;Q13201, 1921;P55290, 731;P43652, 1890;P13611, 1971;P28827, 805;P04196, 734;Q9Y5Y7, 1970;P23470, 682;P13598]	[10.1371/journal.ppat.1009232, 10.1038/s41598-018-20331-2]
H5N5F2S1	9	[653;P98160, 815;P15144, 2946;O75888, 1924;P23280, 1271;P04062, 1868;Q9Y274, 763;Q9ULI3, 1943;P01880, 1533;Q9NY97]	[10.1038/s41467-019-09222-w, 10.1021/pr500575r, 10.1093/glycob/10.9.901, 10.1371/journal.ppat.1009232, 10.1101/853036, 10.1016/j.jprot.2021.104148, 10.1021/pr500238v, 10.1038/s41598-021-84668-x, 10.1021/acs.analchem.8b01137]
H7N3S1	1	[1437;Q08431]	[10.1021/pr500575r, 10.1074/mcp.RA119.001607, 10.1074/mcp.M112.024018, 10.7150/thno.65398]
H6N6F2S3	1	[1442;P07942]	[10.1371/journal.ppat.1009232, 10.1038/s41598-018-20331-2]
H5N5F2S2	8	[1957;Q9UEW3, 1734;Q92854, 649;P40189, 1503;Q13421, 1774;O00391, 550;P01833, 1120;P12259, 320;P02788]	[10.1371/journal.ppat.1009232, 10.1038/s41598-021-84668-x, 10.1038/s41598-018-20331-2]
H4N3F2	17	[161;P02751, 280;P01871, 1839;P43307, 1849;Q9NUM4, 671;P01857, 744;P00738, 1592;P50897, 1079;P07339, 1720;O00472, 1414;P05556, 2769;P01831, 1235;P35555, 1137;P12110, 797;Q9HDC9, 2508;Q9QYS2, 45;P17050, 1847;Q14956]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1046/j.1432-1327.1999.00766.x, 10.1093/glycob/10.8.837, 10.1093/glycob/cwaa052, 10.1074/jbc.M606711200, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1016/s0021-9258(19)69207-0, 10.1111/j.1432-1033.1991.tb16302.x, 10.1074/mcp.RA120.002295, 10.1093/glycob/10.5.511, 10.1021/bi9918285, 10.1021/acs.analchem.1c00893]
H4N3F1	38	[803;P54802, 2615;Q61207, 1257;Q92820, 2973;P01859, 1861;Q15661, 2974;P01859, 1448;Q14767, 2557;P97300, 590;Q8BYI9, 230;P01876, 1414;P05556, 544;P98119, 1169;P07585, 1766;Q92673, 2536;O35136, 1792;P24821, 2675;B9EKR1, 796;P15586, 2372;Q640R3, 2760;Q922J6, 1062;O43852, 2373;Q9QUP5, 2964;P0DOX5, 658;P50454, 2547;A0A087WPX3, 2541;Q6P9K9, 2735;O88307, 1383;Q9Y4L1, 1613;O15031, 600;P01266, 2190;P18242, 2815;P29533, 2749;O09117, 986;Q13510, 1712;Q15293, 1088;P08962, 1084;P11717, 1366;P04440]	[10.1016/j.jchromb.2008.05.006, 10.1016/s0021-9258(19)50338-6, 10.1046/j.1432-1327.1999.00766.x, 10.1021/bi00464a020, 10.1006/abbi.1994.1055, 10.1093/glycob/10.8.837, 10.1093/glycob/cwaa052, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1023/a:1006915200989, 10.1074/jbc.M009361200, 10.1006/abio.2001.5199, 10.1016/0003-9861(91)90144-8, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1074/jbc.M606711200, 10.1006/abio.1994.1138, 10.1046/j.1432-1327.2001.01985.x, 10.1093/glycob/5.3.281, 10.1016/s0021-9258(19)69207-0, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1038/s41598-021-84668-x, 10.1016/s0021-9258(17)43832-4, 10.1093/glycob/4.5.633, 10.1074/mcp.M112.024018, 10.1021/ac4006556, 10.1111/j.1432-1033.1996.0076n.x, 10.1093/glycob/1.1.45, 10.1042/bj2680529, 10.1042/bj2780505, 10.1111/j.1432-1033.1991.tb16302.x, 10.1021/acs.analchem.1c00893, 10.1111/j.1432-1033.1990.tb19256.x, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/10.3.251, 10.1111/j.1432-1033.1993.tb18020.x, 10.1101/853036, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1016/s0008-6215(99)00254-2, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1002/j.1460-2075.1985.tb03991.x, 10.1093/glycob/10.5.511, 10.4049/jimmunol.173.11.6831]
H9N9F1	3	[1193;Q9Y5L3, 79;P13987, 2957;P0DTC2]	[10.1038/s41467-019-09222-w, 10.1093/glycob/10.5.511, 10.18632/oncotarget.26005]
H4N3F3	3	[653;P98160, 1169;P07585, 159;P02675]	[10.1093/glycob/cwaa052, 10.1021/acs.analchem.8b01137]
H6N6F1S1	15	[1241;Q14314, 1935;Q96AP7, 2010;Q9NU22, 1442;P07942, 666;P07288, 1647;Q9P2B2, 1172;Q14126, 1086;P25063, 655;Q13308, 1925;P04040, 1942;P14651, 1217;P16422, 1407;P08648, 1922;Q9BYE9, 1934;Q93070]	[10.1093/glycob/cwaa042, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1093/glycob/cwaa101, 10.1016/j.jaci.2014.02.025, 10.1021/bi035278t, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1074/mcp.RA120.002295, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.18632/oncotarget.26005, 10.1021/acs.jproteome.0c00702, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x, 10.1021/acs.analchem.0c01794]
H6N6S3	16	[685;P41222, 85;P00450, 79;P13987, 280;P01871, 676;P02750, 96;P00740, 1958;O43451, 1524;Q9H8L6, 679;O75882, 1928;Q92496, 726;P27169, 810;P01042, 1177;P27487, 518;P00734, 649;P40189, 1918;Q9BY76]	[10.1111/j.1432-1033.1992.tb17090.x, 10.1021/acs.analchem.8b01137, 10.1038/s41598-018-20331-2]
H6N6S1	18	[19;P01011, 21;P02760, 1781;Q4LDE5, 680;P08581, 1601;P80108, 2933;Q13410, 713;P00736, 679;O75882, 1980;Q5T2D2, 815;P15144, 1723;Q86VB7, 2990;P08637, 984;P08195, 1709;Q15262, 714;P03952, 1120;P12259, 734;Q9Y5Y7, 1239;P11362]	[10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1111/j.1432-1033.1992.tb17090.x, 10.1021/acs.jproteome.9b00753, 10.1074/mcp.RA120.002295, 10.18632/oncotarget.26005, 10.1074/jbc.M101380200, 10.1021/pr500238v, 10.1021/acs.analchem.8b01137]
H2N3	1	[2932;P47710]	[10.1016/s0008-6215(00)80777-6, 10.1074/jbc.M606711200, 10.1093/glycob/cwaa052]
H2N2	4	[668;Q13201, 2281;P21995, 2550;Q80Z24, 681;Q9NY15]	[10.1006/gcen.1993.1083, 10.1007/bf00731872, 10.1021/bi00464a020, 10.1093/glycob/7.5.635, 10.1007/s10719-006-6693-4, 10.1093/glycob/cwaa052, 10.1111/j.1432-1033.1993.tb17870.x, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1006/abio.1997.2463, 10.1074/mcp.RA120.002295, 10.1074/jbc.M100573200, 10.7150/thno.65398, 10.1016/s0008-6215(00)80777-6, 10.1021/acs.jproteome.0c00702, 10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1074/jbc.M606711200, 10.1093/oxfordjournals.jbchem.a022526, 10.1021/pr400714w, 10.1074/jbc.M511023200, 10.1006/abbi.1994.1021, 10.1021/bi9918285, 10.1007/bf00731639, 10.18632/oncotarget.26005, 10.1046/j.1432-1033.2002.03244.x, 10.1074/jbc.273.24.14982, 10.1093/glycob/cwg023, 10.2210/pdb1gly/pdb]
H6N6S2	22	[1935;Q96AP7, 140;P01588, 1950;P14923, 711;Q14624, 1152;Q03591, 1612;O43157, 1524;Q9H8L6, 663;P05154, 1981;O75509, 137;P00533, 1913;Q6QNK2, 315;P03395, 1915;Q9HBW9, 1235;P35555, 1983;P30530, 699;Q96IY4, 502;P00747, 219;P14210, 1968;P40197, 763;Q9ULI3, 1068;P22792, 320;P02788]	[10.1093/glycob/cwaa042, 10.1021/acs.jproteome.9b00753, 10.1074/mcp.RA119.001607, 10.1093/glycob/cwaa101, 10.1074/mcp.RA120.002295, 10.1111/j.1432-1033.1992.tb17362.x, 10.18632/oncotarget.26005, 10.1021/acs.analchem.8b01137, 10.1038/s41598-018-20331-2]
H3N5F2	3	[685;P41222, 367;P01033, 358;P04273]	[10.1038/s41467-019-09222-w, 10.1021/pr500238v, 10.1002/prca.201800061]
H2N4	1	[2839;P0DTC2]	[10.1006/abio.2001.5199]
H3N5F1	5	[177;P09466, 613;P07911, 371;P10252, 1079;P07339, 2932;P47710]	[10.1016/j.jchromb.2008.05.006, 10.1016/0003-2697(87)90253-3, 10.1046/j.1432-1327.1999.00766.x, 10.1007/bf00731292, 10.1093/glycob/10.9.941, 10.1021/bi00222a012, 10.1074/mcp.RA120.002295, 10.1111/j.1432-1033.1996.0448h.x, 10.1021/acs.analchem.8b01051, 10.1016/0014-5793(95)00034-7, 10.2307/3283717, 10.1006/abio.2001.5199, 10.1074/jbc.275.11.7731, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1093/oxfordjournals.jbchem.a124177, 10.1006/abio.1994.1138, 10.1074/jbc.M606711200, 10.1046/j.1432-1327.2001.01985.x, 10.1093/glycob/10.3.295, 10.1016/j.jprot.2014.02.005, 10.1111/j.1432-1033.1995.0805m.x, 10.1046/j.1432-1033.2002.03111.x, 10.1093/glycob/5.3.281, 10.1074/jbc.M504528200, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1021/bi00447a017, 10.1016/j.jprot.2014.03.040, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1023/a:1022528829799, 10.1038/s41598-021-84668-x, 10.1021/bi970393n, 10.1021/bi00378a023, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1006/abio.1995.1200, 10.1021/ac4009995, 10.1074/mcp.M114.047381, 10.1021/bi00341a040, 10.1007/s10719-006-6693-4, 10.1016/0167-4889(90)90235-6, 10.1042/bj3160427, 10.1074/jbc.M004298200, 10.1093/glycob/cwh031, 10.1042/bj2680529, 10.1016/s0021-9258(18)52290-0, 10.1007/bf00702201, 10.1016/s0166-6851(00)00241-3, 10.7150/thno.65398, 10.1016/S0021-9258(18)54122-3, 10.1371/journal.pgen.1003225, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1093/glycob/3.3.225, 10.1074/mcp.M114.039537, 10.1093/glycob/9.8.823, 10.1021/pr200397h, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1371/journal.ppat.1009232, 10.1111/j.1432-1033.1993.tb18020.x, 10.1101/853036, 10.1002/prca.201800061, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1016/s0021-9258(19)39283-x, 10.1021/pr900956x]
H3N4F1S1	11	[2460;Q61292, 2287;P08113, 1587;Q9NRN5, 2547;A0A087WPX3, 177;P09466, 613;P07911, 1117;Q96KA5, 797;Q9HDC9, 2552;Q62443, 2932;P47710, 1062;O43852]	[10.1016/j.talanta.2020.121495, 10.1021/pr500575r, 10.1074/mcp.M112.024018, 10.1046/j.1432-1327.1999.00766.x, 10.1016/j.jprot.2021.104148, 10.1021/acs.analchem.8b01137]
H7N6F4S2	1	[1071;P06731]	[10.1021/acs.analchem.8b01137, 10.1038/s41598-018-20331-2]
H9N7S1	6	[356;P13473, 79;P13987, 1470;P51884, 984;P08195, 736;P16070, 1414;P05556]	[10.1074/jbc.M101380200]
H4N5G2	1	[613;P07911]	[10.18632/oncotarget.26005]
H7N4F1	1	[671;P01857]	[10.1038/s41467-019-09222-w, 10.1111/j.1432-1033.1992.tb17090.x, 10.1021/acs.jproteome.9b00753, 10.1006/abbi.1993.1595, 10.1021/ac4006556, 10.1046/j.1432-1327.1999.00766.x, 10.1016/0008-6215(90)84171-p, 10.1016/j.jaci.2014.02.025, 10.1021/pr500238v, 10.1016/0003-9861(82)90550-1, 10.1021/acs.analchem.8b01137, 10.1016/0161-5890(91)90027-h, 10.1016/s0008-6215(99)00254-2, 10.1007/bf00731640, 10.1016/0161-5890(90)90103-7, 10.18632/oncotarget.26005, 10.1016/0161-5890(93)90145-2]
H6N5F3S1	4	[1235;P35555, 676;P02750, 625;P04004, 711;Q14624]	[10.1021/acs.jproteome.9b00753, 10.1126/science.abb9983, 10.1074/mcp.M112.024018, 10.1371/journal.ppat.1009232, 10.18632/oncotarget.26005, 10.1016/j.jaci.2014.02.025, 10.1021/acs.analchem.8b01137, 10.1038/s41598-018-20331-2]
H6N5F3S2	15	[1087;Q5ZPR3, 1931;Q9P232, 99;P00451, 702;Q13790, 1978;Q08ET2, 1156;Q8IWV2, 1256;Q08380, 1980;Q5T2D2, 668;Q13201, 1890;P13611, 1971;P28827, 749;P05155, 1933;P09172, 1970;P23470, 1035;Q96KN2]	[10.1371/journal.ppat.1009232, 10.1038/s41598-018-20331-2]
H4N4F2S1	5	[1315;P30447, 1316;P05534, 2403;P09055, 797;Q9HDC9, 1280;Q92896]	[10.1021/acs.jproteome.9b00753, 10.1021/pr400196s, 10.1021/ac4006556, 10.18632/oncotarget.26005, 10.1038/s41598-018-20331-2, 10.1021/acs.analchem.8b01137]
H4N3S2	2	[815;P15144, 671;P01857]	[10.1620/tjem.166.407]
H5N2F1	27	[1527;O95297, 2999;P31994-3, 710;O60637, 2998;P12318-1, 1638;Q07954, 2557;P97300, 590;Q8BYI9, 2542;Q61200, 2113;P56528, 1604;Q8IV08, 690;Q13439, 3000;P08637, 2378;Q8HW98, 2991;P12314-2, 2290;P52793, 2200;Q8R464, 2669;A2A8L5, 2409;Q60625, 2617;O09114, 2543;Q91VX5, 2982;P01857, 2735;O88307, 2226;Q07409, 2749;O09117, 986;Q13510, 3001;O75015, 2163;P70408]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1074/mcp.M112.024018, 10.1074/jbc.M606711200, 10.1093/glycob/cwaa052, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1074/mcp.RA120.002295, 10.1016/j.jprot.2014.03.040, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1093/glycob/10.6.551]
H5N2F2	4	[1235;P35555, 1079;P07339, 45;P17050, 1414;P05556]	[10.1074/mcp.RA120.002295, 10.1093/glycob/cwaa052]
H6N3F1S1	3	[1422;Q86UX2, 986;Q13510, 1429;P29622]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1074/mcp.M112.024018, 10.1016/j.jaci.2014.02.025, 10.1101/853036, 10.1021/pr500238v, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1074/mcp.RA119.001607, 10.1021/pr500575r, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA120.002295, 10.7150/thno.65398, 10.18632/oncotarget.26005, 10.1016/j.jprot.2021.104148, 10.1021/acs.jproteome.0c00702, 10.1111/j.1432-1033.1990.tb15281.x, 10.1038/s41598-021-84668-x, 10.1021/acs.analchem.0c01794, 10.1021/bi00223a015]
H4N3S1	5	[2255;Q9Z218, 2964;P0DOX5, 2973;P01859, 2974;P01859, 587;P01730]	[10.1111/j.1432-1033.1996.0076n.x, 10.1093/glycob/1.4.393, 10.1038/s41598-018-20331-2, 10.1093/glycob/7.1.67, 10.1620/tjem.166.407, 10.1111/j.1432-1033.1995.tb20647.x, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.1016/j.jprot.2021.104148, 10.1021/acs.jproteome.0c00702, 10.1002/pmic.201300270, 10.1021/pr500414q, 10.1038/s41467-019-09222-w, 10.1111/j.1432-1033.1991.tb15702.x, 10.1021/acs.jproteome.9b00753, 10.1021/pr400196s, 10.1093/glycob/10.3.251, 10.1101/853036, 10.1021/pr500238v, 10.1074/jbc.M606711200, 10.1021/acs.analchem.8b01137, 10.1111/jth.14861, 10.1007/s00216-014-8226-5, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1074/jbc.270.41.24116, 10.1038/s41592-021-01309-x, 10.1136/adc.71.2.123, 10.1038/s41598-021-84668-x, 10.1111/j.1470-8744.1996.tb00399.x, 10.1016/0014-5793(94)00547-8]
H6N6F1S2	29	[1949;P27930, 161;P02751, 803;P54802, 1801;Q96J42, 683;P55058, 1601;P80108, 1785;Q7Z7G0, 2988;P08637, 1794;P22105, 732;Q8WXD2, 1636;P12273, 1207;P42892, 1977;O75326, 1605;Q96BZ4, 2094;P58166, 592;P40225, 1912;Q9NZK5, 1781;Q4LDE5, 1757;P05026, 702;Q13790, 1204;Q6P179, 1960;O00533, 816;P28300, 285;P19823, 1944;Q8TDY8, 1261;P19440, 649;P40189, 1084;P11717, 1918;Q9BY76]	[10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1093/glycob/cwaa101, 10.1111/j.1432-1033.1992.tb17362.x, 10.1021/bi035278t, 10.1038/s41598-018-20331-2, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.18632/oncotarget.26005, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1038/s41598-021-84668-x, 10.1021/acs.analchem.0c01794]
H5N5F1S1	57	[1488;P48740, 683;P55058, 1895;P54289, 1337;P30475, 1955;P07333, 995;Q8IUX7, 1043;P43251, 374;Q99102, 1504;Q6P4Q7, 1287;Q86SQ4, 592;P40225, 1244;P23142, 1352;P30508, 1966;O95497, 1954;P48357, 1350;Q29718, 1341;P30484, 1647;Q9P2B2, 1230;Q8IXL6, 1998;Q6GTX8, 1364;P30505, 2043;O94925, 1362;Q9TNN7, 1359;P30501, 1805;P35442, 1332;P30464, 1333;P30466, 1983;P30530, 1084;P11717, 1374;P01912, 1806;P49746, 1356;Q95604, 1862;P20231, 1090;P48960, 1945;P17936, 2947;O00300, 1347;Q29836, 1863;Q9UJT0, 1207;P42892, 374;P15941, 1437;Q08431, 1766;Q92673, 603;P00750, 2520;Q61885, 1372;Q9GIY3, 1493;O95460, 980;Q16880, 1370;P20039, 1407;P08648, 1109;P06276, 1371;Q5Y7A7, 1916;P05186, 1617;O00592, 676;P02750, 1383;Q9Y4L1, 1120;P12259, 1142;P02745]	[10.1016/j.jchromb.2008.05.006, 10.1046/j.1432-1327.1999.00766.x, 10.1038/s41598-018-20331-2, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1002/pmic.201300270, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1021/bi035278t, 10.1006/abio.1994.1138, 10.1093/glycob/10.3.295, 10.1016/j.jprot.2014.02.005, 10.1073/pnas.1320544111, 10.1074/mcp.RA119.001607, 10.1074/jbc.M504528200, 10.1021/pr400714w, 10.1016/j.euprot.2014.11.002, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x, 10.1006/abio.1995.1201, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1006/abio.1995.1200, 10.1023/a:1018506208616, 10.1074/mcp.M112.024018, 10.1021/ac4006556, 10.1016/S0021-9258(17)44262-1, 10.1016/j.jaci.2014.02.025, 10.1093/glycob/cwh031, 10.1111/j.1432-1033.1997.00334.x, 10.7150/thno.65398, 10.1371/journal.pgen.1003225, 10.1021/acs.jproteome.0c00702, 10.1093/glycob/9.9.915, 10.1021/acs.analchem.1c00893, 10.1074/mcp.M114.039537, 10.1021/acs.jproteome.9b00753, 10.1093/glycob/10.9.901, 10.1074/mcp.O114.046748, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1681/ASN.2006040388, 10.1021/pr500575r, 10.1016/s0021-9258(18)43451-5, 10.4049/jimmunol.173.11.6831]
H6N6F1S3	22	[1557;O14786, 57;P04114, 280;P01871, 99;P00451, 1961;Q8IVL1, 1079;P07339, 641;Q9GZM5, 230;P01876, 1242;Q06828, 1913;Q6QNK2, 342;P08101, 627;P04275, 1154;Q02985, 283;P05556, 1281;Q8NBJ4, 617;P33151, 1983;P30530, 1951;P35527, 186;P14220, 592;P40225, 283;P08648, 1934;Q93070]	[10.1093/glycob/cwaa101, 10.1111/j.1432-1033.1992.tb17362.x, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1038/s41598-021-84668-x, 10.1111/j.1432-1033.1992.tb16863.x, 10.1021/acs.analchem.0c01794, 10.1038/s41598-018-20331-2]
